
 Lista de Imóveis da Caixa;;Data de geração:;22/04/2025;;;;;;;
 8787715937310 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES POR DO SOL ;QUADRA B07, N. SN, Apto 303, TR 11 VG 169 LT 01 RUA 08 ;77.912,23;134.500,00;42.08;Apartamento, 0.00 de área total, 45.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715937310
 8444416668012 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES OLINDA ;AVENIDA SEGUNDA AVENIDA, N. SN, Apto 201, LT 04 QD CLA-02 ;75.305,50;130.000,00;42.08;Apartamento, 0.00 de área total, 66.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416668012
 8444420765060 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES OLINDA ;QUADRA QA 31, N. SN, Apto 103, 4 AVENIDA LT 15B ;75.305,50;130.000,00;42.08;Apartamento, 0.00 de área total, 59.13 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420765060
 8444423302591 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES OLINDA ;QUADRA QA 10, N. SN, Apto 101, LT 02 1ª AV ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 61.50 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423302591
 8444427009899 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES OLINDA ;QUADRA A 19 RUA 16, N. SN, Apto 101, LT 09 ;76.464,05;132.000,00;42.08;Apartamento, 0.00 de área total, 57.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427009899
 8787700547669 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES OLINDA ;QUADRA A 30, N. SN, Apto 201, LT 14C RUA 04 ;79.360,41;137.000,00;42.08;Apartamento, 0.00 de área total, 52.56 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700547669
 8787700556897 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES OLINDA ;QUADRA QA22, N. SN, Apto 404, 3 PAV, LOTE 07, RUA 01 ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 48.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700556897
 8787713920363 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES OLINDA ;RUA 11, N. S/N, Apto 201, LTE 07, QD A-33, TORRE 07 ;74.552,45;128.700,00;42.08;Apartamento, 0.00 de área total, 46.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713920363
 8444426595786 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM PEROLA DA BARRAGEM I ;QUADRA 18, N. SN, Apto 102, R 10 LT 26 ;73.567,68;127.000,00;42.08;Apartamento, 0.00 de área total, 50.66 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426595786
 8444426702353 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM PEROLA DA BARRAGEM I ;RUA 10, N. S/N, Apto 203, QD.18 LT.26 1º PAV ;75.132,30;129.701,00;42.08;Apartamento, 0.00 de área total, 51.97 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426702353
 8444407318330 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES VILLAGE ;QUADRA C28, N. SN, CS 02 LT 16 ;79.765,91;137.700,00;42.08;Casa, 0.00 de área total, 66.03 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407318330
 8444425084753 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES VILLAGE ;QUADRA C5, N. SN, Apto 101, LT 04B, RUA 05 ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 48.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425084753
 8787701339318 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES VILLAGE ;QUADRA C2, N. S/N, Apto 104, BLOCO A - LOTE 06 ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 48.94 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701339318
 8444416333851 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM V ;AV GOIAS, N. S/N, Apto 201, QD 18, LT 03, RESIDENCIAL DANIELLA ;78.781,14;136.000,00;42.08;Apartamento, 0.00 de área total, 69.37 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416333851
 8444405431440 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 67, N. SN, LT 37A-3,  RUA 17 ;78.201,87;135.000,00;42.08;Casa, 0.00 de área total, 56.17 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405431440
 8444427845204 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QD 4, RUA 01, N. SN, Apto 103, LT 03 ;75.305,50;130.000,00;42.08;Apartamento, 0.00 de área total, 60.04 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427845204
 8444431159425 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 49, N. SN, R 03 LT 08 ;74.726,23;129.000,00;42.08;Casa, 0.00 de área total, 69.84 de área privativa, 360.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444431159425
 8555513274084 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA QUADRA 39, N. SN, LT 18 ;78.201,87;135.000,00;42.08;Casa, 0.00 de área total, 69.92 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513274084
 8444403440131 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA I ;QUADRA 15, N. SN, LT 01E QD 15 RUA 14 ;77.043,32;133.000,00;42.08;Casa, 0.00 de área total, 50.66 de área privativa, 206.08 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403440131
 8444428077014 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA I ;QUADRA 11, N. 11, LT 21 ;78.201,87;135.000,00;42.08;Casa, 0.00 de área total, 50.66 de área privativa, 407.61 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428077014
 8444402560788 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA II ;RUA EDEIA, N. S/N, LT 25, QD 37 ;77.043,32;133.000,00;42.08;Casa, 0.00 de área total, 55.72 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402560788
 8444416225706 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA II ;QUADRA 42, LOTE 08, N. S/N, Apto 203, ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 49.59 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416225706
 8444426724764 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA II ;QUADRA 15, N. SN, LT 09A-3,  AV. CRISTALINA ;74.436,59;128.500,00;42.08;Casa, 0.00 de área total, 64.44 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426724764
 8555508622800 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA II ;QUADRA 15, N. SN, LT 15A5, AV CRISTALINA ;73.567,68;127.000,00;42.08;Casa, 0.00 de área total, 115.00 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555508622800
 8787703220091 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA II ;QUADRA 59, N. SN, Apto 101C, LT 01 ;75.305,50;130.000,00;42.08;Apartamento, 0.00 de área total, 45.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703220091
 8787709541868 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA II ;QUADRA 59, N. SN, Apto 202D, BL D, LT 05, AV CENTRAL ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 45.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709541868
 8444411846869 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;RUA 4, N. SN, LT 40 QD 61 ;78.781,14;136.000,00;42.08;Casa, 0.00 de área total, 62.47 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411846869
 8444421764288 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QUADRA 74, N. SN, LT A1-12, QD 74, RUA 05 ;74.146,96;128.000,00;42.08;Casa, 0.00 de área total, 63.50 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421764288
 8444429671491 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QUADRA 104 CONFRONTANDO FRENTE COM RUA 34, N. SN, LT 04 ;78.781,14;136.000,00;42.08;Casa, 0.00 de área total, 59.81 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429671491
 8555509120000 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QUADRA 103, N. SN, LT 27 RUA 32 ;76.464,05;132.000,00;42.08;Casa, 0.00 de área total, 59.81 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555509120000
 8555537575424 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 09 ;QUADRA 92 CONJUNTO B, N. SN, Apto 303, LT 15 RUA RIO VERDE ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 51.48 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537575424
 8444418343579 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 98, N. SN, Apto 201, LT  01J  CJ A ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 52.20 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418343579
 8444421965593 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 98, N. SN, Apto 101, BL A, TERREO, LT 27, AV 01, CJA ;79.939,69;138.000,00;42.08;Apartamento, 0.00 de área total, 59.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421965593
 8444422965813 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 85, N. SN, Apto 201, CONJ A, RUA 38, BL C, LT 11 ;78.781,14;136.000,00;42.08;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422965813
 8444424825687 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 98, N. SN, Apto 101, BL B LT 29 VG 05 CONJ A ST 11 ;78.201,87;135.000,00;42.08;Apartamento, 0.00 de área total, 58.17 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424825687
 8444425117554 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 85, CJ A, N. S/N, Apto 101, RUA 38, LT 11, CJ A, BL M, SETOR 11 ;73.567,68;127.000,00;42.08;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425117554
 8444426230915 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 93, N. SN, Apto 104, RUA RIO VERDE LT 23B CJ B ;79.360,41;137.000,00;42.08;Apartamento, 0.00 de área total, 55.48 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426230915
 8444400736242 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ;QUADRA 43, N. SN, LT 14 RUA 13 ;78.201,87;135.000,00;42.08;Casa, 0.00 de área total, 69.93 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400736242
 8444415304688 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ;QUADRA 46, N. SN, Apto 203, RUA 10 LT 04 ;79.939,69;138.000,00;42.08;Apartamento, 0.00 de área total, 60.25 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415304688
 8555505532606 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ;RUA CAMPOS DO JORDAO, N. SN, LT 07 QD 10 ;78.781,14;136.000,00;42.08;Casa, 0.00 de área total, 48.75 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555505532606
 8444413625681 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA III ;RUA BAHIA, N. S/N, LOTE 01A QUADRA 11 ;79.939,69;138.000,00;42.08;Casa, 0.00 de área total, 68.01 de área privativa, 300.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413625681
 8444424811210 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA III ;QUADRA 8, N. SN, LT 01-A, AV GOIAS/R MARANHAO ;77.043,32;133.000,00;42.08;Casa, 0.00 de área total, 68.89 de área privativa, 204.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424811210
 8555531518968 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES CAMARGO ;QUADRA 22, N. S/N, LT 34 CJ A RUA AR 13 ;75.305,50;130.000,00;42.08;Casa, 0.00 de área total, 46.07 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531518968
 8444424763800 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES ODISSEIA ;QUADRA 27B, N. SN, CS 01 LT 21A RUA 13 ;78.201,87;135.000,00;42.08;Casa, 0.00 de área total, 65.56 de área privativa, 167.45 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424763800
 8444425927424 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES ODISSEIA ;QUADRA 18B, N. SN, Apto 4, 04 PAV 1 LT 04-C AR 27 ;77.622,60;134.000,00;42.08;Apartamento, 0.00 de área total, 57.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425927424
 8444422224341 ;GO ;AGUAS LINDAS DE GOIAS ;ROYAL PARQUE ;RUA 12, N. SN, CS 03 LT 14A-1 QD 07-C ;75.305,50;130.000,00;42.08;Casa, 0.00 de área total, 69.32 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422224341
 8444424381860 ;GO ;AGUAS LINDAS DE GOIAS ;ROYAL PARQUE ;RUA 12, N. 4, Apto ., QD 8C LT 2A ;77.622,60;134.000,00;42.08;Casa, 0.00 de área total, 70.50 de área privativa, 76.89 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424381860
 8444423412222 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 57, N. SN, Apto 103, LT 08 RUA CARNAUBA ;76.464,05;132.000,00;42.08;Apartamento, 0.00 de área total, 59.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423412222
 8444427367116 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 10, N. SN, Apto 101, LT 18 ;79.939,69;138.000,00;42.08;Apartamento, 0.00 de área total, 59.41 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427367116
 8787700559080 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 0, N. SN, CS 09 LT 08 RUA EUCALIPTO ;77.622,60;134.000,00;42.08;Casa, 0.00 de área total, 77.64 de área privativa, 137.81 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700559080
 8787701120871 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA BAURU, N. SN, Apto 301, LOTE 04 QUADRA 30 ;79.360,41;137.000,00;42.08;Apartamento, 0.00 de área total, 63.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701120871
 8444414962223 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS II ;QUADRA 6, N. SN, CS E, LT.21-A2, RUA TRES ;74.146,96;128.000,00;42.08;Casa, 0.00 de área total, 150.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414962223
 8444421577720 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS II ;AVENIDA NATAL, N. SN, Apto 203, BLOCO B LT 24 QD 08 ;79.939,69;138.000,00;42.08;Apartamento, 0.00 de área total, 56.58 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421577720
 8444417971843 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;RUA 41, N. SN, LT 1438-A4 QD 45 ;78.201,87;135.000,00;42.08;Casa, 0.00 de área total, 63.34 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417971843
 8444418259292 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;QUADRA 48, N. SN, CS E, CHACARA 1161, RUA 34 ;79.930,30;137.983,79;42.08;Casa, 0.00 de área total, 69.73 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418259292
 8444421137925 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;QUADRA 48  -  RES CONQUISTA IV, N. SN, Apto 101, LT 05 CJ MOD C RUA RENOVACAO ;75.305,50;130.000,00;42.08;Apartamento, 0.00 de área total, 50.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421137925
 8444427181608 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;RUA 31, N. SN, Apto 103, LT 617B QD31 ;72.988,41;126.000,00;42.08;Apartamento, 0.00 de área total, 48.27 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427181608
 8787702046675 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;QUADRA 39, N. SN, CS D LT 865 RUA 29 ;75.305,50;130.000,00;42.08;Casa, 0.00 de área total, 62.72 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702046675
